,Player,Nation,Position,Squad,Age,Born,Matches Played,Minutes Played,Goals,Assists,Goals + Assists,Expected Goals,Expected Assists,Expected Goals + Assists,Goals per 90,Assists per 90,Goals + Assists per 90,Expected Goals per 90,Expected Assists per 90,Expected Goals + Assists per 90
14,Arana,es ESP,FW,Racing Sant,24-026,2000,25,1418,9,1,10,6.8,0.7,7.5,0.57,0.06,0.64,0.43,0.04,0.48
15,Arnau Ortiz,es ESP,"MF,FW",Eldense,22-128,2001,16,510,0,1,1,0.7,0.2,1.0,0.0,0.4,0.4,0.27,0.09,0.37
37,Eddie Salcedo,it ITA,FW,Calcio Lecco 1912,22-156,2001,19,518,2,1,3,2.7,0.30000000000000004,2.2,0.65,0.33,0.98,0.93,0.1,1.03
52,Giacomo Manzari,it ITA,FW,FeralpiSalò,23-166,2000,21,839,1,3,4,1.7,1.2,2.8,0.17,0.63,0.8,0.32,0.26,0.5800000000000001
60,Jovanny Bolívar,ve VEN,"FW,MF",Huesca,22-080,2001,13,257,0,0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.31,0.01,0.32
65,Lauti,uy URU,"FW,MF",Cartagena,23-025,2001,14,472,0,0,0,1.5,0.0,1.5,0.0,0.0,0.0,0.6100000000000001,0.0,0.6100000000000001
67,Lorenzo Di Stefano,it ITA,FW,Calcio Lecco 1912,21-168,2002,16,715,1,2,3,2.4,1.2,2.8,0.15,0.29,0.44,0.35,0.18,0.52
70,Mamadou Fofana,fr FRA,MF,Amiens,23-170,2000,33,2303,0,0,0,0.5,0.1,0.6,0.0,0.0,0.0,0.11,0.02,0.14
72,Mandela Keita,be BEL,MF,Antwerp,21-300,2002,21,1548,0,2,2,0.3,1.2,1.6,0.0,0.12,0.12,0.02,0.07,0.1
76,Mateus Fernandes,pt POR,FW,Sporting CP,19-239,2004,20,1439,1,0,1,0.3,2.0,2.3,0.06,0.0,0.06,0.02,0.13,0.15
79,Matteo Stoppa,it ITA,"MF,FW",Catanzaro,23-160,2000,18,502,0,2,2,0.6,0.5,1.1,0.0,0.37,0.37,0.12,2.09,2.21
86,Nicholas Bonfanti,it ITA,FW,Modena,21-343,2002,18,744,4,0,4,3.2,0.4,3.6,1.02,0.0,1.02,0.81,0.08,0.8900000000000001
89,Norman Bassette,be BEL,FW,Caen,19-117,2004,14,534,3,0,3,2.0,0.7,2.7,0.51,0.0,0.51,0.34,0.12,0.46
93,Ousmane Camara,gn GUI,FW,Annecy,22-123,2001,17,639,3,1,4,3.5,1.1,4.5,1.03,0.38,1.41,1.18,0.38,1.55
100,Roko Baturina,hr CRO,FW,Racing Sant,23-259,2000,21,879,2,0,2,1.3,0.3,1.7000000000000002,0.25,0.0,0.25,0.22,0.04,0.26
104,Sacha Banse,bf BFA,MF,Valenciennes,22-355,2001,18,994,0,0,0,0.4,0.3,0.7,0.0,0.0,0.0,0.04,0.02,0.06
124,Úmaro Embaló,pt POR,"FW,MF",Cartagena,22-304,2001,21,844,1,1,2,0.8,0.9,1.6,0.3,0.17,0.47,0.16999999999999998,0.18,0.36
130,Xavier Amaechi,eng ENG,"FW,MF",Magdeburg,23-060,2001,13,682,1,1,2,0.7,2.3,3.0,0.13,0.13,0.26,0.09,0.3,0.39
137,Ilyas Ansah,de GER,"FW,MF",Paderborn 07,19-118,2004,15,829,1,1,2,1.3,0.8,2.1,0.11,0.11,0.22,0.14,0.09,0.23
139,Shinta Appelkamp,de GER,"MF,FW",Düsseldorf,23-125,2000,16,1051,1,7,8,0.9,2.3,3.2,0.09,0.6,0.69,0.08,0.19,0.27
150,Nick Bätzner,de GER,MF,Wehen,23-356,2000,18,1179,1,1,2,2.5,0.8,3.3,0.08,0.08,0.15,0.19,0.06,0.25
162,Filip Bilbija,de GER,"MF,FW",Paderborn 07,23-316,2000,17,1229,5,4,9,6.6,2.5,9.1,0.37,0.29,0.66,0.48,0.18,0.66
184,Jens Castrop,de GER,MF,Nürnberg,20-220,2003,18,1253,2,0,2,1.8,1.0,2.8,0.14,0.0,0.14,0.13,0.07,0.2
228,Yannik Engelhardt,de GER,MF,Düsseldorf,23-027,2001,21,1759,3,1,4,2.3,0.6,2.9,0.15,0.05,0.2,0.12,0.03,0.15
242,Florian Flick,de GER,MF,Nürnberg,23-309,2000,17,1427,2,1,3,0.5,1.0,1.5,0.13,0.06,0.19,0.03,0.06,0.09
260,Johan Gomez,us USA,"MF,FW",Braunschweig,22-226,2001,24,1612,2,2,4,4.0,1.8,5.7,0.11,0.11,0.22,0.22,0.1,0.32
278,Mattes Hansen,de GER,MF,Paderborn 07,19-295,2004,16,1089,2,0,2,0.7,0.6,1.3,0.17,0.0,0.17,0.06,0.05,0.11
307,Lee Hyunju,kr KOR,MF,Wehen,21-027,2003,22,1290,4,0,4,3.4,0.7,4.2,0.28,0.0,0.28,0.24,0.05,0.29
